"FECHA_HECHO","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","CANTIDAD"
"1/1/2025","25","CUNDINAMARCA","25754","SOACHA","1"
"1/1/2025","08","ATLANTICO","08758","SOLEDAD","1"
"1/1/2025","76","VALLE DEL CAUCA","76834","TULUA","1"
"1/1/2025","54","NORTE DE SANTANDER","54874","VILLA DEL ROSARIO","1"
"1/1/2025","17","CALDAS","17873","VILLAMARIA","1"
"1/1/2025","50","META","50001","VILLAVICENCIO","1"
"1/1/2025","50","META","50001","VILLAVICENCIO","1"
"1/1/2025","11","BOGOTA D.C.","11001","BOGOTA D.C.","1"
"1/1/2025","11","BOGOTA D.C.","11001","BOGOTA D.C.","1"
"1/1/2025","11","BOGOTA D.C.","11001","BOGOTA D.C.","1"
"1/1/2025","11","BOGOTA D.C.","11001","BOGOTA D.C.","1"
"1/1/2025","76","VALLE DEL CAUCA","76109","BUENAVENTURA","1"
"1/1/2025","54","NORTE DE SANTANDER","54001","CUCUTA","1"
"1/1/2025","54","NORTE DE SANTANDER","54001","CUCUTA","1"
"1/1/2025","05","ANTIOQUIA","05266","ENVIGADO","1"
"1/1/2025","73","TOLIMA","73001","IBAGUE","1"
"1/1/2025","05","ANTIOQUIA","05360","ITAGUI","1"
"1/1/2025","17","CALDAS","17380","LA DORADA","1"
"1/1/2025","54","NORTE DE SANTANDER","54405","LOS PATIOS","1"
"1/1/2025","13","BOLIVAR","13442","MARIA LA BAJA","1"
"1/1/2025","05","ANTIOQUIA","05001","MEDELLIN","1"
"1/1/2025","05","ANTIOQUIA","05001","MEDELLIN","1"
"1/1/2025","05","ANTIOQUIA","05001","MEDELLIN","1"
"1/1/2025","05","ANTIOQUIA","05001","MEDELLIN","1"
"1/1/2025","41","HUILA","41001","NEIVA","1"
"1/1/2025","41","HUILA","41001","NEIVA","1"
"1/1/2025","76","VALLE DEL CAUCA","76563","PRADERA","1"
"1/1/2025","50","META","50606","RESTREPO","1"
"1/1/2025","13","BOLIVAR","13744","SIMITI","1"
"1/1/2025","05","ANTIOQUIA","05079","BARBOSA","1"
"1/1/2025","05","ANTIOQUIA","05079","BARBOSA","1"
"1/1/2025","68","SANTANDER","68081","BARRANCABERMEJA","1"
"1/2/2025","08","ATLANTICO","08001","BARRANQUILLA","1"
